序号,单词,来源,释义,词源,例句
46,qualitative,必考词 Unit 1,"adj. 性质上的,质量的",源自 quality 的形容词形式，指性质上的、定性的。,"1. The study is based on qualitative research.（这项研究基于定性研究。）
2. There has been a qualitative change in his attitude.（他的态度发生了质的变化。）
3. Qualitative analysis is different from quantitative analysis.（定性分析与定量分析不同。）"
47,safeguard,必考词 Unit 1,vt. 维护，保护，捍卫,由 safe（安全的）+ guard（保护）组成，意为保护措施。,"1. We must safeguard our environment.（我们必须保护我们的环境。）
2. These laws are designed to safeguard human rights.（这些法律旨在保障人权。）
3. The new policy acts as a safeguard against fraud.（新政策起到了防范欺诈的作用。）"
48,safety,必考词 Unit 1,n. 安全，保险；安全性；安全场所,源自 safe（安全的）的名词形式，指安全、平安。,"1. Safety is our top priority.（安全是我们的首要任务。）
2. He was concerned about the safety of the children.（他担心孩子们的安全。）
3. Please follow the safety regulations.（请遵守安全规定。）"
49,savage,必考词 Unit 1,"adj. 野蛮的，未开化的；凶恶的，残暴的
n. 未开化的人，野蛮人
vt. 猛烈抨击，激烈批评",源自拉丁语 silvaticus，意为“属于森林的”，引申为野蛮的、未开化的。,"1. The savage beast attacked the village.（那头凶猛的野兽袭击了村庄。）
2. He made a savage attack on the government's policy.（他对政府的政策进行了猛烈的抨击。）
3. The climate in this region is savage.（这个地区的气候非常恶劣。）"
50,save,必考词 Unit 1,v. 救，拯救；储蓄，贮存；收集；保存；节省，节约,源自拉丁语 salvus，意为“安全的、完整的”，引申为拯救、节省。,"1. He managed to save enough money for college.（他设法存够了上大学的钱。）
2. The doctor saved her life.（医生挽救了她的生命。）
3. Save your work before closing the program.（关闭程序前请保存你的工作。）"
51,saving,必考词 Unit 1,n. 节省，节约，节俭；储蓄金，存款,由 save 演变而来，指节省下来的东西或行为。,"1. Energy saving is crucial for the environment.（节能对环境至关重要。）
2. She put her savings into a bank account.（她把积蓄存进了银行账户。）
3. This new method offers a significant saving of time.（这种新方法节省了大量时间。）"
52,scale,必考词 Unit 1,n. 刻度，标度；天平，磅秤；比例，比例尺；规模，程度；范围,源自拉丁语 scala，意为“梯子”，引申为刻度、规模、比例。,"1. The project was on a massive scale.（该项目规模宏大。）
2. Can you read the scale on the thermometer?（你能读出温度计上的刻度吗？）
3. The map is drawn to a scale of 1:1000.（这张地图是按1:1000的比例绘制的。）"
53,scene,必考词 Unit 1,n. 景色；舞台布景,源自希腊语 skene，原指戏剧舞台的背景或帐篷，引申为场景、现场。,"1. The police arrived at the scene of the crime.（警察到达了犯罪现场。）
2. The final scene of the movie was very moving.（电影的最后一幕非常感人。）
3. He made a scene in the restaurant.（他在餐厅大吵大闹。）"
54,scene,必考词 Unit 1,n. 景色；舞台布景,源自希腊语 skene，原指戏剧舞台的背景或帐篷，引申为场景、现场。,"1. The police arrived at the scene of the crime.（警察到达了犯罪现场。）
2. The final scene of the movie was very moving.（电影的最后一幕非常感人。）
3. He made a scene in the restaurant.（他在餐厅大吵大闹。）"
55,scenery,必考词 Unit 1,n. 风景；舞台布景,由 scene 演变而来，指舞台布景，后引申为自然风光、景色。,"1. We enjoyed the beautiful mountain scenery.（我们欣赏了美丽的山景。）
2. The scenery along the coast is breathtaking.（沿海的风景令人叹为观止。）
3. A change of scenery will do you good.（换个环境对你有好处。）"
56,pace,必考词 Unit 1,"n. 步，步速，步伐；速度，节奏
v. 踱方步，踱步",源自拉丁语 passus，意为“步子”，引申为步伐、节奏。,"1. He walked at a slow pace.（他以缓慢的步伐行走。）
2. The pace of technological change is accelerating.（技术变革的步伐正在加快。）
3. You need to set your own pace for learning.（你需要设定自己的学习节奏。）"
57,panel,必考词 Unit 1,n. 面，板；控制板，仪表盘；专门小组,源自拉丁语 pannus，意为“布片”，引申为镶板、控制面板、专门小组。,"1. The control panel is easy to operate.（控制面板很容易操作。）
2. A panel of experts will discuss the issue.（专家小组将讨论这个问题。）
3. The wooden panel was carved with patterns.（木板上雕刻着图案。）"
58,panorama,必考词 Unit 1,n. 全景，全景画，全景摄影；概论，概述，概观,由希腊语 pan（全部）+ horama（景象）组成，意为“全景”。,"1. The tower offers a panorama of the city.（从塔上可以俯瞰城市全景。）
2. The book provides a panorama of 20th-century history.（这本书展现了20世纪历史的全貌。）
3. We enjoyed a stunning panorama of the valley.（我们欣赏了山谷令人惊叹的全景。）"
59,prove,必考词 Unit 1,v. 证明，证实；检验，考验，鉴定；结果是，表明是；展现，显示,源自拉丁语 probare，意为“测试、证明”，引申为证实、结果是。,"1. Can you prove your theory?（你能证明你的理论吗？）
2. The new medicine proved to be effective.（这种新药被证明是有效的。）
3. He has nothing to prove to anyone.（他不需要向任何人证明什么。）"
60,provide,必考词 Unit 1,vt. 提供，供给，给予；规定,源自拉丁语 providere，意为“预见、准备”，引申为提供、供给。,"1. The school provides free lunches for students.（学校为学生提供免费午餐。）
2. The law provides that everyone has the right to vote.（法律规定人人都有投票权。）
3. We must provide for the future.（我们必须为未来做准备。）"
61,provided,必考词 Unit 1,conj. 倘若，只要，假如，在……条件下,由 provide 的过去分词演变，常作连词，意为“假如、在...条件下”。,"1. I will go, provided that you come with me.（只要你跟我一起去，我就去。）
2. Provided the weather is fine, we will leave tomorrow.（如果天气好，我们明天就出发。）
3. He was provided with all the necessary equipment.（他被提供了所有必要的设备。）"
62,mediate,必考词 Unit 2,v. 调停，调解，斡旋；解决分歧；影响……的发生，使……可能发生,源自拉丁语 medius，意为“中间的”，引申为调解、斡旋。,"1. The UN tried to mediate in the conflict.（联合国试图调解这场冲突。）
2. He was asked to mediate between the two parties.（他被要求在双方之间进行调解。）
3. The brain mediates our sensory experiences.（大脑调节着我们的感官体验。）"
63,meditation,必考词 Unit 2,n. 沉思，冥想,源自拉丁语 meditare，意为“思考、沉思”，引申为冥想、沉思。,"1. She practices meditation every morning.（她每天早上练习冥想。）
2. He was lost in deep meditation.（他陷入了沉思之中。）
3. Meditation can help reduce stress.（冥想有助于减轻压力。）"
64,medium,必考词 Unit 2,"n. 中间，中庸；媒介，媒体，介质；手段，工具，方法
adj. 中等的；中号的",源自拉丁语 medius，意为“中间的”，引申为媒介、手段、中等的。,"1. English is the medium of instruction in this school.（英语是这所学校的教学媒介。）
2. Television is a powerful medium for communication.（电视是一种强大的传播媒介。）
3. He is of medium height.（他中等身材。）"
65,media,必考词 Unit 2,n. 媒体，传媒,medium 的复数形式，现多指大众传播媒介。,"1. The media reported the event extensively.（媒体对该事件进行了广泛报道。）
2. Social media has changed how we interact.（社交媒体改变了我们的互动方式。）
3. The media are often criticized for bias.（媒体常因偏见而受到批评。）"
66,elaborate,必考词 Unit 2,"adj. 精心计划的，详尽的，复杂的
v. 精心制作；详述",源自拉丁语 elaborare，意为“精心制作”，引申为详尽的、复杂的。,"1. He gave an elaborate explanation of the plan.（他对该计划做了详尽的解释。）
2. The design is very elaborate.（这个设计非常复杂精细。）
3. Could you elaborate on that point?（你能详细说明一下那一点吗？）"
67,elegant,必考词 Unit 2,adj. 优雅的，优美的，精致的；简练的，简洁的,源自拉丁语 eligere，意为“挑选出来的”，引申为优雅的、简洁而巧妙的。,"1. She looked elegant in her evening dress.（她穿着晚礼服看起来很优雅。）
2. The solution to the problem was very elegant.（这个问题的解决方案非常巧妙。）
3. The hotel is known for its elegant decor.（这家酒店以其优雅的装饰而闻名。）"
68,element,必考词 Unit 2,"n. ① 元素;要素,组成部分,基本部分(c)；n. ② 有点,有些,少量(c)；n. ③ (pl.) {学科的}基本原理,基础,纲要；n. ④ {尤指动物的}自然环境,适宜的环境(c)",源自拉丁语 elementum，意为“基本原理、成分”。,"1. Water is a basic element of life.（水是生命的基本要素。）
2. He is in his element when he is teaching.（他教书时最得心应手。）
3. The plan contains an element of risk.（该计划包含一定的风险因素。）"
69,element,必考词 Unit 2,"n. ① 元素;要素,组成部分,基本部分(c)；n. ② 有点,有些,少量(c)；n. ③ (pl.) {学科的}基本原理,基础,纲要；n. ④ {尤指动物的}自然环境,适宜的环境(c)",源自拉丁语 elementum，意为“基本原理、成分”。,"1. Water is a basic element of life.（水是生命的基本要素。）
2. He is in his element when he is teaching.（他教书时最得心应手。）
3. The plan contains an element of risk.（该计划包含一定的风险因素。）"
70,elementary,必考词 Unit 2,adj. 初等的，基本的；简单的，容易的,由 element 演变而来，意为“基本的、初级的”。,"1. These are elementary principles of physics.（这些是物理学的基本原理。）
2. He made an elementary mistake.（他犯了一个低级错误。）
3. She teaches at an elementary school.（她在小学教书。）"
71,absence,必考词 Unit 2,n. 缺勤，缺席，不在场,源自拉丁语 absentia，意为“不在场”。,"1. His absence was noted by everyone.（大家都注意到了他的缺席。）
2. The project failed in the absence of support.（由于缺乏支持，该项目失败了。）
3. Absence makes the heart grow fonder.（小别胜新婚（谚语）。）"
72,absent,必考词 Unit 2,adj. 不在场的，缺席的；漫不经心的，茫然的,源自拉丁语 absens，意为“不在的”。,"1. He was absent from school yesterday.（他昨天没去学校。）
2. She has an absent look on her face.（她脸上带着心不在焉的神情。）
3. The key ingredient is absent from the recipe.（食谱中缺少了关键配料。）"
73,abroad,必考词 Unit 2,adv. 到国外，在国外；广为流传,由 a-（在）+ broad（宽广的）组成，意为“在宽广的地方”，引申为在国外。,"1. He is planning to study abroad.（他计划去国外留学。）
2. Rumors spread abroad quickly.（谣言很快传开了。）
3. She has traveled widely abroad.（她去过很多国外的地方。）"
74,absolute,必考词 Unit 2,adj. 纯粹的，完全的，绝对的；不受任何限制（或约束）的；无疑的，肯定的，确的,源自拉丁语 absolutus，意为“不受限制的、完全的”。,"1. He has absolute power in the company.（他在公司拥有绝对权力。）
2. That is absolute nonsense.（那纯粹是胡说八道。）
3. We need absolute proof.（我们需要确凿的证据。）"
75,eliminate,必考词 Unit 2,vt. 排除，消除；（比赛中）淘汰；消灭（尤指敌人或对手）,源自拉丁语 eliminare，意为“逐出门口”，引申为消除、排除。,"1. We must eliminate all possible risks.（我们必须消除所有可能的风险。）
2. The team was eliminated in the first round.（该队在第一轮就被淘汰了。）
3. This diet helps eliminate toxins from the body.（这种饮食有助于排除体内毒素。）"
76,abolish,必考词 Unit 2,vt. 废除，废止,源自拉丁语 abolere，意为“停止生长、废除”。,"1. They want to abolish the death penalty.（他们想要废除死刑。）
2. Slavery was abolished in the 19th century.（奴隶制在19世纪被废除了。）
3. The tax should be abolished.（这项税收应该被废除。）"
77,absorb,必考词 Unit 2,vt. 吸引，注意；占去（时间、注意力等）；承受，忍受；吸进，吸收（液体、气体等）,源自拉丁语 absorbere，意为“吞下、吸收”。,"1. Plants absorb carbon dioxide.（植物吸收二氧化碳。）
2. He was absorbed in his book.（他全神贯注于书本。）
3. The company absorbed the smaller firm.（该公司兼并了那家小公司。）"
78,abstract,必考词 Unit 2,"adj. 抽象的
n. 摘要，梗概
vt. 提取，抽取",源自拉丁语 abstrahere，意为“抽离、提取”，引申为抽象的、摘要。,"1. Justice is an abstract concept.（正义是一个抽象的概念。）
2. He wrote an abstract for his research paper.（他为研究论文写了一份摘要。）
3. The painting is purely abstract.（这幅画是纯抽象的。）"
79,ban,必考词 Unit 2,"vt. 官方明令禁止，取缔
n. 禁止，禁令",源自古英语 bannan，意为“宣告、命令”，引申为禁止。,"1. The government decided to ban smoking in public places.（政府决定禁止在公共场所吸烟。）
2. There is a total ban on alcohol in this area.（该地区全面禁止饮酒。）
3. He was banned from the stadium.（他被禁止进入体育场。）"
80,bar,必考词 Unit 2,"n. 条，块，杆，棒; 酒吧，酒柜
vt. 门，窗等; 禁闭，封锁，禁止",源自古法语 barre，意为“横木、障碍物”，引申为酒吧、律师界、阻碍。,"1. He was called to the bar last year.（他去年获得了律师资格。）
2. The door was barred from the inside.（门从里面被闩上了。）
3. Nothing can bar him from success.（没有什么能阻挡他成功。）"
81,bare,必考词 Unit 2,adj. 赤裸的，光秃的; 基本的，微小的; 仅仅的,源自古英语 bær，意为“裸露的”，与“出生”的词根相关，引申为“赤裸的、无遮盖的”。,"1. He walked on the bare floor.（他在光秃秃的地板上走着。）
2. The trees were bare in winter.（冬天树木光秃秃的。）
3. She told me the bare facts.（她告诉了我事实真相。）"
82,barely,必考词 Unit 2,adv. 赤裸裸地，无遮蔽地; 空空地; 仅仅，勉强; 几乎不,由 bare（裸露的）+ ly（副词后缀）构成，意为“仅仅、勉强”，即“几乎没有多余的”。,"1. They have barely enough food.（他们的食物勉强够吃。）
2. I could barely hear him.（我几乎听不见他说话。）
3. She had barely arrived when the phone rang.（她刚到电话就响了。）"
83,bargain,必考词 Unit 2,n. 廉价货,源自古法语 bargaigner，原意为“讨价还价”，引申为“交易、廉价品”。,"1. The coat was a real bargain.（这件外套买得真划算。）
2. They made a bargain to share the work.（他们达成协议分担工作。）
3. It is hard to bargain with him.（很难和他讨价还价。）"
